desc,Code,country,countryCode,data
Individuals using the Internet (% of population),IT.NET.USER.ZS,Euro area,EMU,84.4859073694646
Individuals using the Internet (% of population),IT.NET.USER.ZS,Europe & Central Asia,ECS,79.5597418808531
Individuals using the Internet (% of population),IT.NET.USER.ZS,Europe & Central Asia (excluding high income),ECA,71.7469194444221
Individuals using the Internet (% of population),IT.NET.USER.ZS,Europe & Central Asia (IDA & IBRD countries),TEC,72.9422407382607
Individuals using the Internet (% of population),IT.NET.USER.ZS,European Union,EUU,83.931649548396
Individuals using the Internet (% of population),IT.NET.USER.ZS,Fragile and conflict affected situations,FCS,27.8707534532296
Individuals using the Internet (% of population),IT.NET.USER.ZS,Heavily indebted poor countries (HIPC),HPC,18.9182554217751
Individuals using the Internet (% of population),IT.NET.USER.ZS,High income,HIC,86.9820818114521
Individuals using the Internet (% of population),IT.NET.USER.ZS,IBRD only,IBD,52.4701912761789
Individuals using the Internet (% of population),IT.NET.USER.ZS,IDA & IBRD total,IBT,44.8831343533668
Individuals using the Internet (% of population),IT.NET.USER.ZS,IDA blend,IDB,29.1027053332064
Individuals using the Internet (% of population),IT.NET.USER.ZS,IDA only,IDX,19.6096643983799
Individuals using the Internet (% of population),IT.NET.USER.ZS,IDA total,IDA,22.8018090853807
Individuals using the Internet (% of population),IT.NET.USER.ZS,Late-demographic dividend,LTE,60.6277449171911
Individuals using the Internet (% of population),IT.NET.USER.ZS,Latin America & Caribbean,LCN,65.9688034923114
Individuals using the Internet (% of population),IT.NET.USER.ZS,Latin America & Caribbean (excluding high income),LAC,65.3393259485993
Individuals using the Internet (% of population),IT.NET.USER.ZS,Latin America & the Caribbean (IDA & IBRD countries),TLA,65.9936098503332
Individuals using the Internet (% of population),IT.NET.USER.ZS,Least developed countries: UN classification,LDC,17.8802219944307
Individuals using the Internet (% of population),IT.NET.USER.ZS,Low & middle income,LMY,44.2641188700442
Individuals using the Internet (% of population),IT.NET.USER.ZS,Low income,LIC,15.3021885161029
Individuals using the Internet (% of population),IT.NET.USER.ZS,Lower middle income,LMC,35.4054424089446
Individuals using the Internet (% of population),IT.NET.USER.ZS,Middle East & North Africa,MEA,63.5864421874396
Individuals using the Internet (% of population),IT.NET.USER.ZS,Middle East & North Africa (excluding high income),MNA,58.1932283453452
Individuals using the Internet (% of population),IT.NET.USER.ZS,Middle East & North Africa (IDA & IBRD countries),TMN,58.0323123848558
